date,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2025-12-13 20:30:00+00:00,8.604,14.404,19.104,21.254,0.105,0.106,0.114,0.145,0.229
2025-12-13 21:30:00+00:00,8.054,13.904,18.804,21.254,0.105,0.106,0.114,0.146,0.229
2025-12-13 22:30:00+00:00,7.804,13.454,18.554,21.204,0.106,0.107,0.114,0.146,0.229
2025-12-13 23:30:00+00:00,7.354,13.054,18.254,21.204,0.106,0.107,0.115,0.146,0.229
2025-12-14 00:30:00+00:00,7.554,12.704,17.954,21.204,0.107,0.107,0.115,0.146,0.229
2025-12-14 01:30:00+00:00,16.754,13.104,17.704,21.204,0.107,0.108,0.115,0.146,0.229
2025-12-14 02:30:00+00:00,24.504,15.354,17.604,21.154,0.105,0.108,0.115,0.146,0.229
2025-12-14 03:30:00+00:00,27.654,18.104,17.654,21.154,0.103,0.108,0.114,0.145,0.229
2025-12-14 04:30:00+00:00,28.904,20.254,17.854,21.154,0.101,0.107,0.114,0.145,0.229
2025-12-14 05:30:00+00:00,30.604,21.904,18.204,21.154,0.099,0.106,0.114,0.144,0.229
2025-12-14 06:30:00+00:00,30.854,23.254,18.604,21.104,0.097,0.106,0.114,0.144,0.229
2025-12-14 07:30:00+00:00,29.804,24.054,19.054,21.104,0.096,0.105,0.114,0.144,0.228
2025-12-14 08:30:00+00:00,27.604,24.304,19.454,21.104,0.096,0.104,0.114,0.143,0.228
2025-12-14 09:30:00+00:00,24.604,23.954,19.854,21.104,0.096,0.104,0.114,0.143,0.228
2025-12-14 10:30:00+00:00,20.954,23.154,20.154,21.104,0.097,0.103,0.113,0.143,0.228
2025-12-14 11:30:00+00:00,17.104,21.804,20.354,21.154,0.098,0.103,0.113,0.143,0.228
2025-12-14 12:30:00+00:00,15.204,20.654,20.404,21.154,0.099,0.103,0.113,0.143,0.228
2025-12-14 13:30:00+00:00,13.954,19.404,20.404,21.154,0.101,0.103,0.114,0.143,0.228
2025-12-14 14:30:00+00:00,12.904,18.254,20.304,21.154,0.102,0.103,0.114,0.143,0.228
2025-12-14 15:30:00+00:00,11.804,17.304,20.154,21.154,0.103,0.103,0.114,0.143,0.228
2025-12-14 16:30:00+00:00,10.854,16.504,19.954,21.154,0.103,0.104,0.114,0.143,0.228
2025-12-14 17:30:00+00:00,10.054,15.804,19.754,21.154,0.103,0.104,0.114,0.143,0.228
2025-12-14 18:30:00+00:00,9.504,15.204,19.504,21.154,0.104,0.105,0.114,0.143,0.228
2025-12-14 19:30:00+00:00,9.154,14.704,19.254,21.154,0.104,0.105,0.114,0.143,0.228
2025-12-14 20:30:00+00:00,8.754,14.254,18.954,21.154,0.105,0.106,0.114,0.143,0.228
2025-12-14 21:30:00+00:00,7.454,13.654,18.704,21.154,0.105,0.106,0.114,0.143,0.228
2025-12-14 22:30:00+00:00,6.104,13.104,18.404,21.154,0.106,0.107,0.114,0.143,0.228
2025-12-14 23:30:00+00:00,6.954,12.904,18.154,21.154,0.106,0.107,0.114,0.143,0.228
2025-12-15 00:30:00+00:00,11.804,13.204,17.854,21.154,0.106,0.107,0.114,0.143,0.228
2025-12-15 01:30:00+00:00,18.854,13.904,17.604,21.104,0.106,0.107,0.114,0.143,0.228
2025-12-15 02:30:00+00:00,24.654,15.154,17.454,21.104,0.105,0.107,0.114,0.143,0.228
2025-12-15 03:30:00+00:00,28.054,17.304,17.554,21.104,0.103,0.107,0.114,0.143,0.228
2025-12-15 04:30:00+00:00,30.254,19.954,17.804,21.054,0.1,0.106,0.113,0.142,0.227
2025-12-15 05:30:00+00:00,31.404,22.104,18.104,21.054,0.098,0.106,0.113,0.142,0.227
2025-12-15 06:30:00+00:00,31.554,23.504,18.504,21.054,0.096,0.105,0.113,0.142,0.227
2025-12-15 07:30:00+00:00,30.654,24.404,19.004,21.054,0.095,0.105,0.113,0.141,0.227
2025-12-15 08:30:00+00:00,28.754,24.704,19.454,21.054,0.094,0.104,0.113,0.141,0.227
2025-12-15 09:30:00+00:00,25.354,24.304,19.854,21.054,0.094,0.103,0.113,0.141,0.227
2025-12-15 10:30:00+00:00,21.004,23.304,20.154,21.054,0.096,0.102,0.113,0.141,0.226
2025-12-15 11:30:00+00:00,17.304,22.154,20.404,21.054,0.097,0.102,0.113,0.141,0.226
2025-12-15 12:30:00+00:00,15.004,20.904,20.504,21.054,0.098,0.102,0.113,0.141,0.226
2025-12-15 13:30:00+00:00,13.454,19.504,20.454,21.104,0.1,0.103,0.113,0.141,0.227
2025-12-15 14:30:00+00:00,12.154,18.254,20.354,21.104,0.101,0.103,0.113,0.141,0.227
2025-12-15 15:30:00+00:00,11.104,17.204,20.204,21.104,0.102,0.103,0.113,0.141,0.227
2025-12-15 16:30:00+00:00,10.404,16.304,20.004,21.104,0.102,0.104,0.113,0.141,0.227
2025-12-15 17:30:00+00:00,9.804,15.554,19.754,21.104,0.103,0.104,0.113,0.141,0.227
2025-12-15 18:30:00+00:00,9.354,14.954,19.504,21.104,0.103,0.104,0.113,0.141,0.227
2025-12-15 19:30:00+00:00,9.004,14.454,19.204,21.104,0.104,0.105,0.113,0.141,0.227
2025-12-15 20:30:00+00:00,8.704,14.054,18.904,21.104,0.104,0.105,0.113,0.141,0.227
2025-12-15 21:30:00+00:00,7.754,13.554,18.604,21.104,0.104,0.105,0.113,0.141,0.227
2025-12-15 22:30:00+00:00,6.804,13.154,18.354,21.104,0.105,0.106,0.113,0.141,0.227
2025-12-15 23:30:00+00:00,7.804,13.054,18.104,21.104,0.105,0.106,0.113,0.141,0.227
2025-12-16 00:30:00+00:00,12.404,13.354,17.804,21.104,0.105,0.106,0.113,0.141,0.227
2025-12-16 01:30:00+00:00,19.004,14.054,17.554,21.054,0.105,0.107,0.113,0.141,0.227
2025-12-16 02:30:00+00:00,24.454,15.254,17.454,21.054,0.104,0.107,0.113,0.141,0.227
2025-12-16 03:30:00+00:00,27.654,17.454,17.604,21.054,0.102,0.106,0.113,0.141,0.227
2025-12-16 04:30:00+00:00,29.754,20.204,17.904,21.004,0.099,0.106,0.113,0.14,0.226
2025-12-16 05:30:00+00:00,31.104,22.204,18.104,21.004,0.097,0.105,0.113,0.14,0.226
2025-12-16 06:30:00+00:00,31.754,23.554,18.504,20.954,0.097,0.106,0.113,0.139,0.226
2025-12-16 07:30:00+00:00,31.304,24.504,19.004,20.954,0.096,0.105,0.113,0.139,0.225
2025-12-16 08:30:00+00:00,29.754,24.854,19.454,20.954,0.095,0.104,0.113,0.138,0.225
2025-12-16 09:30:00+00:00,26.404,24.554,19.854,20.954,0.096,0.103,0.113,0.138,0.225
2025-12-16 10:30:00+00:00,21.904,23.754,20.204,21.004,0.097,0.103,0.113,0.138,0.225
2025-12-16 11:30:00+00:00,18.104,22.704,20.454,21.004,0.099,0.103,0.113,0.138,0.225
2025-12-16 12:30:00+00:00,15.704,21.404,20.554,21.004,0.1,0.103,0.113,0.138,0.225
2025-12-16 13:30:00+00:00,14.054,19.854,20.554,21.004,0.101,0.104,0.113,0.138,0.225
2025-12-16 14:30:00+00:00,12.904,18.604,20.504,21.004,0.102,0.104,0.113,0.138,0.225
2025-12-16 15:30:00+00:00,12.454,17.804,20.404,21.004,0.103,0.104,0.113,0.138,0.225
2025-12-16 16:30:00+00:00,12.454,17.304,20.204,21.054,0.103,0.105,0.113,0.138,0.225
2025-12-16 17:30:00+00:00,12.304,16.804,20.004,21.054,0.104,0.105,0.113,0.138,0.225
2025-12-16 18:30:00+00:00,11.554,16.254,19.804,21.054,0.104,0.105,0.113,0.138,0.225
2025-12-16 19:30:00+00:00,10.604,15.754,19.604,21.054,0.105,0.106,0.113,0.138,0.225
2025-12-16 20:30:00+00:00,9.754,15.254,19.354,21.054,0.105,0.106,0.113,0.138,0.225
2025-12-16 21:30:00+00:00,8.454,14.554,19.104,21.054,0.106,0.106,0.113,0.138,0.225
2025-12-16 22:30:00+00:00,7.254,13.904,18.854,21.054,0.107,0.107,0.113,0.139,0.225
2025-12-16 23:30:00+00:00,8.154,13.654,18.604,21.054,0.107,0.107,0.113,0.139,0.225
2025-12-17 00:30:00+00:00,12.904,14.004,18.304,21.054,0.107,0.107,0.113,0.139,0.225
2025-12-17 01:30:00+00:00,19.754,14.754,18.054,21.004,0.107,0.108,0.113,0.139,0.225
2025-12-17 02:30:00+00:00,25.354,16.004,17.904,21.004,0.106,0.108,0.113,0.139,0.225
2025-12-17 03:30:00+00:00,28.454,18.004,18.004,21.004,0.104,0.108,0.113,0.139,0.225
2025-12-17 04:30:00+00:00,30.354,20.454,18.204,21.004,0.101,0.107,0.113,0.138,0.224
2025-12-17 05:30:00+00:00,31.304,22.454,18.504,21.004,0.099,0.106,0.113,0.138,0.224
2025-12-17 06:30:00+00:00,31.454,23.754,18.904,21.004,0.097,0.105,0.113,0.137,0.224
2025-12-17 07:30:00+00:00,30.654,24.654,19.354,21.004,0.096,0.105,0.112,0.137,0.224
2025-12-17 08:30:00+00:00,29.004,25.004,19.754,21.004,0.096,0.104,0.112,0.136,0.224
2025-12-17 09:30:00+00:00,26.054,24.654,20.104,21.004,0.097,0.104,0.112,0.136,0.224
2025-12-17 10:30:00+00:00,22.254,23.804,20.454,21.004,0.098,0.103,0.112,0.136,0.224
2025-12-17 11:30:00+00:00,18.954,22.754,20.654,21.004,0.099,0.103,0.112,0.136,0.224
2025-12-17 12:30:00+00:00,16.604,21.554,20.754,21.004,0.1,0.103,0.112,0.136,0.224
2025-12-17 13:30:00+00:00,14.754,20.204,20.754,21.054,0.102,0.104,0.112,0.136,0.224
2025-12-17 14:30:00+00:00,13.254,18.954,20.704,21.054,0.103,0.104,0.112,0.136,0.224
2025-12-17 15:30:00+00:00,12.054,17.904,20.554,21.054,0.104,0.104,0.112,0.136,0.224
2025-12-17 16:30:00+00:00,11.204,17.004,20.404,21.054,0.104,0.105,0.112,0.136,0.224
2025-12-17 17:30:00+00:00,10.454,16.204,20.154,21.054,0.104,0.105,0.112,0.136,0.224
2025-12-17 18:30:00+00:00,9.804,15.554,19.904,21.054,0.104,0.105,0.112,0.136,0.224
2025-12-17 19:30:00+00:00,9.254,14.954,19.604,21.054,0.105,0.106,0.112,0.137,0.224
2025-12-17 20:30:00+00:00,8.804,14.454,19.304,21.054,0.105,0.106,0.112,0.137,0.224
2025-12-17 21:30:00+00:00,7.754,13.854,19.004,21.054,0.105,0.106,0.112,0.137,0.224
2025-12-17 22:30:00+00:00,6.754,13.304,18.704,21.054,0.106,0.107,0.113,0.137,0.224
2025-12-17 23:30:00+00:00,7.754,13.154,18.454,21.054,0.106,0.107,0.113,0.137,0.224
2025-12-18 00:30:00+00:00,12.404,13.504,18.154,21.054,0.106,0.107,0.113,0.137,0.224
2025-12-18 01:30:00+00:00,18.954,14.204,17.904,21.054,0.106,0.108,0.113,0.137,0.224
2025-12-18 02:30:00+00:00,24.454,15.454,17.754,21.054,0.105,0.108,0.113,0.137,0.224
2025-12-18 03:30:00+00:00,27.754,17.504,17.854,21.054,0.103,0.108,0.113,0.137,0.224
2025-12-18 04:30:00+00:00,29.904,20.054,18.054,21.004,0.101,0.107,0.112,0.136,0.223
2025-12-18 05:30:00+00:00,31.054,22.154,18.354,21.004,0.099,0.106,0.112,0.136,0.223
2025-12-18 06:30:00+00:00,31.154,23.504,18.704,21.004,0.097,0.105,0.112,0.135,0.223
2025-12-18 07:30:00+00:00,30.254,24.404,19.154,21.004,0.096,0.104,0.112,0.135,0.222
2025-12-18 08:30:00+00:00,28.404,24.704,19.554,21.004,0.095,0.103,0.112,0.134,0.222
2025-12-18 09:30:00+00:00,24.904,24.154,19.904,21.004,0.096,0.102,0.112,0.134,0.222
2025-12-18 10:30:00+00:00,20.504,23.004,20.254,21.004,0.097,0.102,0.112,0.134,0.222
2025-12-18 11:30:00+00:00,17.304,22.154,20.454,21.004,0.098,0.102,0.112,0.134,0.222
2025-12-18 12:30:00+00:00,,,,,,,,,
2025-12-18 13:30:00+00:00,,,,,,,,,
2025-12-18 14:30:00+00:00,,,,,,,,,
2025-12-18 15:30:00+00:00,,,,,,,,,
2025-12-18 16:30:00+00:00,,,,,,,,,
2025-12-18 17:30:00+00:00,,,,,,,,,
2025-12-18 18:30:00+00:00,,,,,,,,,
2025-12-18 19:30:00+00:00,,,,,,,,,
2025-12-18 20:30:00+00:00,,,,,,,,,
2025-12-18 21:30:00+00:00,,,,,,,,,
2025-12-18 22:30:00+00:00,,,,,,,,,
2025-12-18 23:30:00+00:00,,,,,,,,,
2025-12-19 00:30:00+00:00,,,,,,,,,
2025-12-19 01:30:00+00:00,,,,,,,,,
2025-12-19 02:30:00+00:00,,,,,,,,,
2025-12-19 03:30:00+00:00,,,,,,,,,
2025-12-19 04:30:00+00:00,,,,,,,,,
2025-12-19 05:30:00+00:00,,,,,,,,,
2025-12-19 06:30:00+00:00,,,,,,,,,
2025-12-19 07:30:00+00:00,,,,,,,,,
2025-12-19 08:30:00+00:00,,,,,,,,,
2025-12-19 09:30:00+00:00,,,,,,,,,
2025-12-19 10:30:00+00:00,,,,,,,,,
2025-12-19 11:30:00+00:00,,,,,,,,,
2025-12-19 12:30:00+00:00,,,,,,,,,
2025-12-19 13:30:00+00:00,,,,,,,,,
2025-12-19 14:30:00+00:00,,,,,,,,,
2025-12-19 15:30:00+00:00,,,,,,,,,
2025-12-19 16:30:00+00:00,,,,,,,,,
2025-12-19 17:30:00+00:00,,,,,,,,,
2025-12-19 18:30:00+00:00,,,,,,,,,
2025-12-19 19:30:00+00:00,,,,,,,,,
2025-12-19 20:30:00+00:00,,,,,,,,,
2025-12-19 21:30:00+00:00,,,,,,,,,
2025-12-19 22:30:00+00:00,,,,,,,,,
2025-12-19 23:30:00+00:00,,,,,,,,,
2025-12-20 00:30:00+00:00,,,,,,,,,
2025-12-20 01:30:00+00:00,,,,,,,,,
2025-12-20 02:30:00+00:00,,,,,,,,,
2025-12-20 03:30:00+00:00,,,,,,,,,
2025-12-20 04:30:00+00:00,,,,,,,,,
2025-12-20 05:30:00+00:00,,,,,,,,,
2025-12-20 06:30:00+00:00,,,,,,,,,
2025-12-20 07:30:00+00:00,,,,,,,,,
2025-12-20 08:30:00+00:00,,,,,,,,,
2025-12-20 09:30:00+00:00,,,,,,,,,
2025-12-20 10:30:00+00:00,,,,,,,,,
2025-12-20 11:30:00+00:00,,,,,,,,,
2025-12-20 12:30:00+00:00,,,,,,,,,
2025-12-20 13:30:00+00:00,,,,,,,,,
2025-12-20 14:30:00+00:00,,,,,,,,,
2025-12-20 15:30:00+00:00,,,,,,,,,
2025-12-20 16:30:00+00:00,,,,,,,,,
2025-12-20 17:30:00+00:00,,,,,,,,,
2025-12-20 18:30:00+00:00,,,,,,,,,
2025-12-20 19:30:00+00:00,,,,,,,,,
2025-12-20 20:30:00+00:00,,,,,,,,,
2025-12-20 21:30:00+00:00,,,,,,,,,
2025-12-20 22:30:00+00:00,,,,,,,,,
2025-12-20 23:30:00+00:00,,,,,,,,,
2025-12-21 00:30:00+00:00,,,,,,,,,
2025-12-21 01:30:00+00:00,,,,,,,,,
2025-12-21 02:30:00+00:00,,,,,,,,,
2025-12-21 03:30:00+00:00,,,,,,,,,
2025-12-21 04:30:00+00:00,,,,,,,,,
2025-12-21 05:30:00+00:00,,,,,,,,,
2025-12-21 06:30:00+00:00,,,,,,,,,
2025-12-21 07:30:00+00:00,,,,,,,,,
2025-12-21 08:30:00+00:00,,,,,,,,,
2025-12-21 09:30:00+00:00,,,,,,,,,
2025-12-21 10:30:00+00:00,,,,,,,,,
2025-12-21 11:30:00+00:00,,,,,,,,,
2025-12-21 12:30:00+00:00,,,,,,,,,
2025-12-21 13:30:00+00:00,,,,,,,,,
2025-12-21 14:30:00+00:00,,,,,,,,,
2025-12-21 15:30:00+00:00,,,,,,,,,
2025-12-21 16:30:00+00:00,,,,,,,,,
2025-12-21 17:30:00+00:00,,,,,,,,,
2025-12-21 18:30:00+00:00,,,,,,,,,
2025-12-21 19:30:00+00:00,,,,,,,,,
2025-12-21 20:30:00+00:00,,,,,,,,,
2025-12-21 21:30:00+00:00,,,,,,,,,
2025-12-21 22:30:00+00:00,,,,,,,,,
2025-12-21 23:30:00+00:00,,,,,,,,,
2025-12-22 00:30:00+00:00,,,,,,,,,
2025-12-22 01:30:00+00:00,,,,,,,,,
2025-12-22 02:30:00+00:00,,,,,,,,,
2025-12-22 03:30:00+00:00,,,,,,,,,
2025-12-22 04:30:00+00:00,,,,,,,,,
2025-12-22 05:30:00+00:00,,,,,,,,,
2025-12-22 06:30:00+00:00,,,,,,,,,
2025-12-22 07:30:00+00:00,,,,,,,,,
2025-12-22 08:30:00+00:00,,,,,,,,,
2025-12-22 09:30:00+00:00,,,,,,,,,
2025-12-22 10:30:00+00:00,,,,,,,,,
2025-12-22 11:30:00+00:00,,,,,,,,,
2025-12-22 12:30:00+00:00,,,,,,,,,
2025-12-22 13:30:00+00:00,,,,,,,,,
2025-12-22 14:30:00+00:00,,,,,,,,,
2025-12-22 15:30:00+00:00,,,,,,,,,
2025-12-22 16:30:00+00:00,,,,,,,,,
2025-12-22 17:30:00+00:00,,,,,,,,,
2025-12-22 18:30:00+00:00,,,,,,,,,
2025-12-22 19:30:00+00:00,,,,,,,,,
2025-12-22 20:30:00+00:00,,,,,,,,,
2025-12-22 21:30:00+00:00,,,,,,,,,
2025-12-22 22:30:00+00:00,,,,,,,,,
2025-12-22 23:30:00+00:00,,,,,,,,,
2025-12-23 00:30:00+00:00,,,,,,,,,
2025-12-23 01:30:00+00:00,,,,,,,,,
2025-12-23 02:30:00+00:00,,,,,,,,,
2025-12-23 03:30:00+00:00,,,,,,,,,
2025-12-23 04:30:00+00:00,,,,,,,,,
2025-12-23 05:30:00+00:00,,,,,,,,,
2025-12-23 06:30:00+00:00,,,,,,,,,
2025-12-23 07:30:00+00:00,,,,,,,,,
2025-12-23 08:30:00+00:00,,,,,,,,,
2025-12-23 09:30:00+00:00,,,,,,,,,
2025-12-23 10:30:00+00:00,,,,,,,,,
2025-12-23 11:30:00+00:00,,,,,,,,,
2025-12-23 12:30:00+00:00,,,,,,,,,
2025-12-23 13:30:00+00:00,,,,,,,,,
2025-12-23 14:30:00+00:00,,,,,,,,,
2025-12-23 15:30:00+00:00,,,,,,,,,
2025-12-23 16:30:00+00:00,,,,,,,,,
2025-12-23 17:30:00+00:00,,,,,,,,,
2025-12-23 18:30:00+00:00,,,,,,,,,
2025-12-23 19:30:00+00:00,,,,,,,,,
2025-12-23 20:30:00+00:00,,,,,,,,,
2025-12-23 21:30:00+00:00,,,,,,,,,
2025-12-23 22:30:00+00:00,,,,,,,,,
2025-12-23 23:30:00+00:00,,,,,,,,,
2025-12-24 00:30:00+00:00,,,,,,,,,
2025-12-24 01:30:00+00:00,,,,,,,,,
2025-12-24 02:30:00+00:00,,,,,,,,,
2025-12-24 03:30:00+00:00,,,,,,,,,
2025-12-24 04:30:00+00:00,,,,,,,,,
2025-12-24 05:30:00+00:00,,,,,,,,,
2025-12-24 06:30:00+00:00,,,,,,,,,
2025-12-24 07:30:00+00:00,,,,,,,,,
2025-12-24 08:30:00+00:00,,,,,,,,,
2025-12-24 09:30:00+00:00,,,,,,,,,
2025-12-24 10:30:00+00:00,,,,,,,,,
2025-12-24 11:30:00+00:00,,,,,,,,,
2025-12-24 12:30:00+00:00,,,,,,,,,
2025-12-24 13:30:00+00:00,,,,,,,,,
2025-12-24 14:30:00+00:00,,,,,,,,,
2025-12-24 15:30:00+00:00,,,,,,,,,
2025-12-24 16:30:00+00:00,,,,,,,,,
